,age,portion,item,risk,why,term,bearing,types,profit_exp,conf,res_1,res_2,tf1,tf2,tf3,tf4,stock_type,risk_level
1,31-45,0-20%,20-40k,10-20%,2. Only source of profit,Short Term (within 3 months),1,['ETF'],>80%,7,2. Sell majority of stock and take some time before re-enter,1. Sell everything and gain profit,Long term,True,False,True,"['Telecommunication', 'Franchise', 'Traveling', 'Real Estate', 'Retail']",low
2,18-22,81-100%,0-10k,10-20%,1. Stock as a part of portfolio,Regular (6month~1 year),1,"['Leverage', 'ETF']",40-80%,9,5. Remain calm and keep the portfolio as is,"3. Take out 50%, and wait for further growth",Short term,False,Don't know,Don't know,"['Semiconductors', 'Traveling']",medium
3,31-45,0-20%,20-40k,10-20%,3. As a part of experience :),Short Term (within 3 months),6,"['Fund', 'ETF', 'Individual Stocks']",10-20%,3,1. Sell everything and give up,"4. Volatility is inevitable, so only sell the least increased assets",Don't know,False,False,Don't know,"['Entertainment', 'Energy & Resources', 'Traveling', 'Social Media', 'Telecommunication', 'Luxury goods', 'Airline', 'Real Estate']",low
4,18-22,81-100%,10-20k,10-20%,3. As a part of experience :),Short Term (within 3 months),2,"['Fund', 'Individual Stocks', 'Leverage', 'ETF']",20-40%,6,2. Sell majority of stock and take some time before re-enter,5. Keep the portfolio as is,Long term,Don't know,False,True,"['Cloud Computing', 'BlockChain', 'Real Estate', 'Franchise', 'Social Media', 'Semiconductors', 'Entertainment', 'Luxury goods', 'Airline', 'Traveling', 'Retail', 'Telecommunication', 'Energy & Resources']",medium
5,31-45,61-80%,10-20k,over 30%,3. As a part of experience :),Long (More than 3 years),6,['Fund'],>80%,8,"3. Take out 50%, and wait before the rebound","3. Take out 50%, and wait for further growth",Short term,False,False,False,"['Luxury goods', 'Semiconductors', 'Airline', 'Real Estate', 'Telecommunication', 'Franchise', 'Entertainment', 'Traveling', 'Social Media', 'Energy & Resources', 'Cloud Computing', 'BlockChain']",medium
6,46-65,21-40%,20-40k,10-20%,3. As a part of experience :),Long (More than 3 years),5,"['Fund', 'Leverage']",40-80%,7,2. Sell majority of stock and take some time before re-enter,5. Keep the portfolio as is,Short term,False,False,True,"['Social Media', 'Cloud Computing', 'Semiconductors', 'Luxury goods', 'Telecommunication', 'Energy & Resources', 'Airline', 'Retail', 'Traveling', 'Entertainment', 'BlockChain']",medium
7,46-65,21-40%,>80k,10-20%,2. Only source of profit,Quite Long (1~3 year),3,"['Fund', 'ETF', 'Individual Stocks', 'Leverage']",10-20%,4,5. Remain calm and keep the portfolio as is,5. Keep the portfolio as is,Long term,False,Don't know,Don't know,['Telecommunication'],medium
8,46-65,0-20%,40-80k,10-20%,1. Stock as a part of portfolio,Quite Long (1~3 year),9,"['Individual Stocks', 'Fund']",40-80%,10,1. Sell everything and give up,2. Sell majority of stock and take some time before re-enter,Long term,Don't know,True,True,"['BlockChain', 'Energy & Resources', 'Real Estate', 'Semiconductors', 'Cloud Computing', 'Social Media', 'Retail', 'Entertainment', 'Telecommunication', 'Airline', 'Traveling']",medium
9,18-22,21-40%,0-10k,20-30%,2. Only source of profit,Long (More than 3 years),6,['Fund'],>80%,2,1. Sell everything and give up,"3. Take out 50%, and wait for further growth",Long term,True,Don't know,True,"['Telecommunication', 'Franchise', 'Airline', 'Energy & Resources', 'Cloud Computing', 'Luxury goods', 'Social Media', 'Retail', 'Semiconductors', 'Traveling', 'Real Estate', 'BlockChain']",low
10,18-22,0-20%,10-20k,10-20%,2. Only source of profit,Very short (1 month),1,"['Fund', 'Leverage', 'ETF']",10-20%,8,2. Sell majority of stock and take some time before re-enter,5. Keep the portfolio as is,Don't know,False,False,False,"['Retail', 'Luxury goods']",medium
11,23-30,21-40%,>80k,over 30%,2. Only source of profit,Quite Long (1~3 year),2,"['ETF', 'Fund', 'Individual Stocks', 'Leverage']",10-20%,1,"3. Take out 50%, and wait before the rebound","3. Take out 50%, and wait for further growth",Long term,False,False,Don't know,"['Retail', 'Entertainment', 'Traveling', 'Franchise', 'Telecommunication', 'Real Estate', 'Social Media', 'Luxury goods']",low
12,31-45,81-100%,>80k,0-5%,1. Stock as a part of portfolio,Quite Long (1~3 year),4,"['ETF', 'Leverage', 'Fund', 'Individual Stocks']",20-40%,2,"4. Volatility is inevitable, so only sell the weak assets",1. Sell everything and gain profit,Long term,True,Don't know,True,"['Social Media', 'Energy & Resources', 'Semiconductors', 'Traveling', 'Franchise', 'BlockChain']",medium
13,>65,0-20%,>80k,5-10%,3. As a part of experience :),Long (More than 3 years),2,['ETF'],0-10%,1,1. Sell everything and give up,"3. Take out 50%, and wait for further growth",Short term,Don't know,False,True,"['Airline', 'Luxury goods', 'Franchise', 'Telecommunication']",low
14,23-30,61-80%,10-20k,5-10%,1. Stock as a part of portfolio,Long (More than 3 years),5,"['Fund', 'Leverage', 'Individual Stocks']",10-20%,3,2. Sell majority of stock and take some time before re-enter,2. Sell majority of stock and take some time before re-enter,Don't know,Don't know,True,False,"['BlockChain', 'Semiconductors', 'Social Media', 'Entertainment', 'Airline', 'Retail', 'Cloud Computing', 'Franchise', 'Luxury goods', 'Telecommunication', 'Real Estate', 'Traveling']",medium
15,23-30,61-80%,20-40k,5-10%,2. Only source of profit,Short Term (within 3 months),10,['Leverage'],20-40%,1,2. Sell majority of stock and take some time before re-enter,2. Sell majority of stock and take some time before re-enter,Long term,False,False,Don't know,['Cloud Computing'],low
16,>65,41-60%,40-80k,10-20%,1. Stock as a part of portfolio,Short Term (within 3 months),4,['ETF'],10-20%,7,"3. Take out 50%, and wait before the rebound","4. Volatility is inevitable, so only sell the least increased assets",Long term,False,True,False,"['Retail', 'Telecommunication', 'Social Media', 'Energy & Resources', 'Cloud Computing', 'Luxury goods', 'Traveling']",medium
17,>65,21-40%,>80k,20-30%,3. As a part of experience :),Quite Long (1~3 year),8,['ETF'],20-40%,6,1. Sell everything and give up,2. Sell majority of stock and take some time before re-enter,Long term,Don't know,False,False,"['Traveling', 'Luxury goods', 'Entertainment', 'Cloud Computing', 'Franchise', 'Social Media', 'Telecommunication']",low
18,23-30,0-20%,10-20k,5-10%,3. As a part of experience :),Long (More than 3 years),1,"['ETF', 'Fund']",20-40%,4,"3. Take out 50%, and wait before the rebound",2. Sell majority of stock and take some time before re-enter,Don't know,False,False,True,"['Real Estate', 'Telecommunication', 'Airline', 'Cloud Computing', 'Traveling', 'Luxury goods', 'Energy & Resources', 'Retail', 'Social Media', 'Entertainment', 'Semiconductors']",low
19,>65,21-40%,10-20k,5-10%,2. Only source of profit,Short Term (within 3 months),5,"['Individual Stocks', 'ETF', 'Fund']",>80%,10,2. Sell majority of stock and take some time before re-enter,1. Sell everything and gain profit,Don't know,Don't know,Don't know,Don't know,"['Energy & Resources', 'Traveling', 'Franchise', 'Airline', 'Retail', 'BlockChain']",medium
20,>65,41-60%,>80k,20-30%,1. Stock as a part of portfolio,Regular (6month~1 year),4,"['Fund', 'Leverage']",10-20%,6,5. Remain calm and keep the portfolio as is,"3. Take out 50%, and wait for further growth",Long term,True,Don't know,True,"['Entertainment', 'Real Estate', 'Cloud Computing', 'Semiconductors', 'Social Media', 'Airline', 'Luxury goods', 'Retail']",medium
21,>65,61-80%,10-20k,10-20%,3. As a part of experience :),Short Term (within 3 months),2,"['ETF', 'Fund', 'Individual Stocks']",40-80%,9,"3. Take out 50%, and wait before the rebound","4. Volatility is inevitable, so only sell the least increased assets",Don't know,True,True,True,['Telecommunication'],high
22,23-30,81-100%,0-10k,5-10%,2. Only source of profit,Short Term (within 3 months),10,['Individual Stocks'],40-80%,4,"3. Take out 50%, and wait before the rebound",2. Sell majority of stock and take some time before re-enter,Short term,False,True,True,"['Real Estate', 'Semiconductors']",medium
23,18-22,41-60%,0-10k,over 30%,1. Stock as a part of portfolio,Quite Long (1~3 year),1,"['Individual Stocks', 'Leverage']",10-20%,7,2. Sell majority of stock and take some time before re-enter,1. Sell everything and gain profit,Long term,False,False,True,"['Entertainment', 'Energy & Resources', 'Telecommunication', 'Social Media', 'Airline', 'Retail', 'Traveling', 'Real Estate']",low
24,46-65,61-80%,>80k,0-5%,2. Only source of profit,Quite Long (1~3 year),9,['Fund'],10-20%,6,"4. Volatility is inevitable, so only sell the weak assets",2. Sell majority of stock and take some time before re-enter,Long term,True,False,True,"['Airline', 'Semiconductors', 'BlockChain', 'Franchise', 'Traveling', 'Retail', 'Social Media', 'Luxury goods', 'Telecommunication']",low
25,46-65,61-80%,>80k,20-30%,3. As a part of experience :),Quite Long (1~3 year),8,"['Fund', 'ETF', 'Individual Stocks']",20-40%,5,"3. Take out 50%, and wait before the rebound","4. Volatility is inevitable, so only sell the least increased assets",Short term,Don't know,True,False,['Airline'],medium
26,>65,21-40%,>80k,5-10%,1. Stock as a part of portfolio,Very short (1 month),2,"['Fund', 'Leverage']",0-10%,6,"3. Take out 50%, and wait before the rebound",5. Keep the portfolio as is,Don't know,Don't know,False,Don't know,['Luxury goods'],medium
27,18-22,61-80%,>80k,0-5%,1. Stock as a part of portfolio,Quite Long (1~3 year),5,['Leverage'],>80%,1,5. Remain calm and keep the portfolio as is,5. Keep the portfolio as is,Long term,False,False,Don't know,"['Franchise', 'Energy & Resources', 'Real Estate', 'Airline', 'Retail']",low
28,46-65,0-20%,20-40k,20-30%,3. As a part of experience :),Regular (6month~1 year),10,['ETF'],20-40%,8,1. Sell everything and give up,2. Sell majority of stock and take some time before re-enter,Don't know,Don't know,True,True,"['Energy & Resources', 'Semiconductors', 'Real Estate', 'Traveling', 'Entertainment', 'Social Media', 'Luxury goods', 'Franchise', 'Airline']",medium
29,23-30,81-100%,20-40k,10-20%,3. As a part of experience :),Short Term (within 3 months),5,"['Individual Stocks', 'ETF']",>80%,7,2. Sell majority of stock and take some time before re-enter,"4. Volatility is inevitable, so only sell the least increased assets",Long term,Don't know,Don't know,Don't know,"['Energy & Resources', 'Real Estate', 'Retail', 'Luxury goods', 'Social Media', 'Cloud Computing', 'Airline']",medium
30,31-45,61-80%,10-20k,5-10%,1. Stock as a part of portfolio,Very short (1 month),2,['Individual Stocks'],0-10%,1,2. Sell majority of stock and take some time before re-enter,2. Sell majority of stock and take some time before re-enter,Don't know,True,False,Don't know,"['Traveling', 'Franchise', 'Semiconductors', 'Social Media', 'Airline', 'Retail', 'Telecommunication']",low
31,46-65,0-20%,>80k,20-30%,3. As a part of experience :),Very short (1 month),10,"['Fund', 'ETF', 'Leverage']",0-10%,7,2. Sell majority of stock and take some time before re-enter,1. Sell everything and gain profit,Short term,False,Don't know,Don't know,"['Energy & Resources', 'Luxury goods', 'Real Estate', 'Airline', 'Semiconductors']",medium
32,31-45,41-60%,10-20k,10-20%,3. As a part of experience :),Long (More than 3 years),2,"['Leverage', 'Fund', 'ETF']",10-20%,1,"3. Take out 50%, and wait before the rebound",2. Sell majority of stock and take some time before re-enter,Short term,Don't know,False,Don't know,"['Airline', 'Traveling', 'Retail', 'Telecommunication', 'BlockChain', 'Franchise', 'Energy & Resources', 'Cloud Computing']",low
33,23-30,61-80%,10-20k,20-30%,1. Stock as a part of portfolio,Very short (1 month),3,['ETF'],20-40%,5,1. Sell everything and give up,2. Sell majority of stock and take some time before re-enter,Don't know,True,False,Don't know,"['Traveling', 'Real Estate', 'Retail', 'Energy & Resources', 'Franchise', 'Luxury goods', 'BlockChain']",medium
34,>65,41-60%,10-20k,20-30%,3. As a part of experience :),Long (More than 3 years),4,['Individual Stocks'],>80%,5,1. Sell everything and give up,5. Keep the portfolio as is,Long term,True,True,True,"['Luxury goods', 'Social Media', 'Real Estate', 'Retail', 'Entertainment', 'Telecommunication', 'Cloud Computing', 'BlockChain', 'Traveling']",medium
35,31-45,21-40%,20-40k,over 30%,2. Only source of profit,Long (More than 3 years),10,"['Leverage', 'Individual Stocks', 'Fund']",0-10%,10,"4. Volatility is inevitable, so only sell the weak assets",1. Sell everything and gain profit,Long term,True,False,False,"['Franchise', 'Energy & Resources', 'Real Estate', 'Airline', 'Luxury goods', 'Social Media', 'Semiconductors']",medium
36,>65,61-80%,0-10k,10-20%,1. Stock as a part of portfolio,Long (More than 3 years),8,"['Fund', 'Individual Stocks']",40-80%,9,5. Remain calm and keep the portfolio as is,5. Keep the portfolio as is,Short term,False,True,True,"['Cloud Computing', 'Energy & Resources', 'Telecommunication', 'Airline', 'Retail', 'Luxury goods', 'BlockChain', 'Semiconductors', 'Traveling', 'Franchise']",high
